ITEM_20150317_000001	無_helmet
ITEM_20150414_004752	帶勁的苦啤酒，味道很苦。
ITEM_20150414_004753	從怪物身上取得的皮革，可以用於製造各種武器。
ITEM_20150414_004754	可以收集怪物毒的甕，年代看起來很久遠。
ITEM_20150414_004755	鐮刀
ITEM_20150414_004756	鐵耙子(不使用)
ITEM_20150414_004757	借農具時，為了以防萬一，豪拉奇烏斯寫的信件。
ITEM_20150414_004758	被連根拔起的尼奧雷，根和葉子被當作食材和藥材使用，去除苦味是關鍵。
ITEM_20150414_004759	好好烘乾的肉乾
ITEM_20150414_004760	約亞那製作的魔法石，據說用這個可以摧毀魔法陣。
ITEM_20150414_004761	曾被怪物們偷走的種子袋，有被咬過的痕跡。
ITEM_20150414_004762	不知是什麼肉的肉塊，腥味振動。
ITEM_20150414_004763	從各處找來的碎片好不容易組合起來復原的小的女神像。
ITEM_20150414_004764	魔法師之甕
ITEM_20150414_004765	乾柴
ITEM_20150414_004766	乾燥的木柴。
ITEM_20150414_004767	建造堅固籬笆的乾燥木材。
ITEM_20150414_004768	曾經放在畫著魔法陣的皮革上的短劍，不知為何有不好的預感。
ITEM_20150414_004769	蜥蜴人的尖銳腳趾甲，據說透過這個可以見到神秘樹苗的反應。
ITEM_20150414_004770	從橘色泰瑪身上萃取的體液，被用在德魯伊的淨化儀式上。
ITEM_20150414_004771	和樹苗同時被發現的小箱子，裡面裝著種子。
ITEM_20150414_004772	泰瑪的殘骸
ITEM_20150414_004773	泰瑪死亡時留下殘骸，調查官需要。
ITEM_20150414_004774	調查官莫納漢委託的葡萄藤蔓之根，和根莖不同很新鮮。
ITEM_20150414_004775	樹妖的羊頭上掛的角碎片，農場監督官要求一定要帶回來。
ITEM_20150414_004776	解救中毒農夫們的解毒劑，快點餵農夫們吧！
ITEM_20150414_004777	德魯伊們在儀式時主要使用的特別的石碗。
ITEM_20150414_004778	裝滿水的石碗，異常氣息可以引誘怪物們。
ITEM_20150414_004779	巴伊斯的種子袋
ITEM_20150414_004780	巴伊斯避開士兵的眼睛偷偷栽種獲得的珍貴種子袋。
ITEM_20150414_004781	刻著夏頓家紋章的金項鍊，有血飛濺的痕跡。
ITEM_20150414_004782	粉紅樹根地鼠的角
ITEM_20150414_004783	證明消滅樹根地鼠的角。
ITEM_20150414_004784	研究員卡雷斯委託的怪物標本，可以知道作物長不好的原因嗎？
ITEM_20150414_004785	烈焰魔法師請求的怪物標本，還溫溫的。
ITEM_20150414_004786	治療中毒工人們的解毒劑，製造法是獵人大師教的。
ITEM_20150414_004787	刻著謎樣符號的皮革，好像是魔法陣。
ITEM_20150414_004788	獵人大師給的藥，據說在藥裡混入利迪梅得的葉子，解毒劑就完成了。
ITEM_20150414_004789	從來歷不明的短劍流出的毒，和刻有魔法陣的皮革有關聯。
ITEM_20150414_004790	抑制怪物生長的裝置，連作物好像也會跟著受到影響。
ITEM_20150414_004791	獵人大師寫下的解毒劑配方，在解毒溶劑裡混入利迪梅得葉子吧！
ITEM_20150414_004792	夏隆的特制藥水
ITEM_20150414_004793	只有夏隆知道裡面加了什麼的特制藥水，碰到的植物都枯死了。
ITEM_20150428_004794	對戰鬥有幫助的裝備。
ITEM_20150428_004795	約魯基斯闊刃彎刀
ITEM_20150428_004796	上級迪奧劍
ITEM_20150428_004797	上級特雷希劍
ITEM_20150428_004798	上級塞茲塔斯劍
ITEM_20150428_004799	上級德拉特劍
ITEM_20150428_004800	上級亞斯頓劍
ITEM_20150428_004801	烈焰
ITEM_20150428_004802	卡拉圖尼斯劍
ITEM_20150428_004803	艾斯特拉劍
ITEM_20150428_004804	約魯基斯德式鬥劍
ITEM_20150428_004805	上級迪奧雙手劍
ITEM_20150428_004806	上級特雷希雙手劍
ITEM_20150428_004807	上級塞茲塔斯雙手劍
ITEM_20150428_004808	上級德拉特雙手劍
ITEM_20150428_004809	上級亞斯頓雙手劍
ITEM_20150428_004810	鋸子
ITEM_20150428_004811	卡拉圖尼斯雙手劍
ITEM_20150428_004812	艾斯特拉雙手劍
ITEM_20150428_004813	約魯基斯奧爾特權杖
ITEM_20150428_004814	上級迪奧權杖
ITEM_20150428_004815	上級特雷希權杖
ITEM_20150428_004816	上級塞茲塔斯權杖
ITEM_20150428_004817	上級德拉特權杖
ITEM_20150428_004818	上級亞斯頓權杖
ITEM_20150428_004819	卡拉圖尼斯權杖
ITEM_20150428_004820	艾斯特拉權杖
ITEM_20150428_004821	約魯基斯掠奪弓
ITEM_20150428_004822	上級迪奧弓
ITEM_20150428_004823	上級特雷希弓
ITEM_20150428_004824	上級塞茲塔斯弓
ITEM_20150428_004825	上級德拉特弓
ITEM_20150428_004826	上級亞斯頓弓
ITEM_20150428_004827	卡拉圖尼斯弓
ITEM_20150428_004828	伊克塞爾弓
ITEM_20150428_004829	約魯基斯佩迪米安炮塔
ITEM_20150428_004830	卡拉圖尼斯十字弓
ITEM_20150428_004831	艾斯特拉十字弓
ITEM_20150428_004832	上級迪奧鈍器
ITEM_20150428_004833	上級特雷希鈍器
ITEM_20150428_004834	上級塞茲塔斯鈍器
ITEM_20150428_004835	上級德拉特鈍器
ITEM_20150428_004836	上級亞斯頓鈍器
ITEM_20150428_004837	卡拉圖尼斯 鈍器
ITEM_20150428_004838	艾斯特拉鈍器
ITEM_20150428_004839	- 每當使用基本攻擊對相同敵人打中10次時觸發效果。
ITEM_20150428_004840	看起來很弱，但是如果打10次會觸發。
ITEM_20150428_004841	約魯基斯德式錐槍
ITEM_20150428_004842	上級特雷希矛槍
ITEM_20150428_004843	塞茲塔斯矛槍
ITEM_20150428_004844	上級塞茲塔斯矛槍
ITEM_20150428_004845	上級德拉特矛槍
ITEM_20150428_004846	上級亞斯頓矛槍
ITEM_20150428_004847	卡拉圖尼斯矛槍
ITEM_20150428_004848	下注
ITEM_20150428_004849	約魯基斯皇家闊頭槍
ITEM_20150428_004850	上級塞茲塔斯長槍
ITEM_20150428_004851	德拉特長槍
ITEM_20150428_004852	上級德拉特長槍
ITEM_20150428_004853	亞斯頓長槍
ITEM_20150428_004854	上級亞斯頓長槍
ITEM_20150428_004855	卡拉圖尼斯長槍
ITEM_20150428_004856	艾斯特拉長槍
ITEM_20150428_004857	約魯基斯小刀
ITEM_20150428_004858	約魯基斯鋼鐵法杖
ITEM_20150428_004859	上級迪奧法杖
ITEM_20150428_004860	上級特雷希法杖
ITEM_20150428_004861	上級塞茲塔斯法杖
ITEM_20150428_004862	上級德拉特法杖
ITEM_20150428_004863	上級亞斯頓法杖
ITEM_20150428_004864	卡拉圖尼斯 法杖
ITEM_20150428_004865	艾斯特拉法杖
ITEM_20150428_004866	上級亞斯頓手槍
ITEM_20150428_004867	戴維手槍
ITEM_20150428_004868	大地手套
ITEM_20150428_004869	大地靴子
ITEM_20150428_004870	大地短褲
ITEM_20150428_004871	大地布甲
ITEM_20150428_004872	大地皮革手套
ITEM_20150428_004873	大地皮革靴子
ITEM_20150428_004874	大地皮革短褲
ITEM_20150428_004875	大地皮革盔甲
ITEM_20150428_004876	大地鋼鐵護手套
ITEM_20150428_004877	大地鋼鐵護脛靴
ITEM_20150428_004878	大地鋼鐵短褲
ITEM_20150428_004879	大地鋼鐵盔甲
ITEM_20150428_004880	勒肯家門的手套
ITEM_20150428_004881	勒肯家門曾經使用過的防具。
ITEM_20150428_004882	勒肯家門的靴子
ITEM_20150428_004883	勒肯家門的短褲
ITEM_20150428_004884	勒肯家門的布甲
ITEM_20150428_004885	勒肯家門的皮革手套
ITEM_20150428_004886	勒肯家門的皮革靴子
ITEM_20150428_004887	勒肯家門的皮革短褲
ITEM_20150428_004888	勒肯家門的皮革盔甲
ITEM_20150428_004889	勒肯家門的鋼鐵護手套
ITEM_20150428_004890	勒肯家門的鋼鐵護脛靴
ITEM_20150428_004891	勒肯家門的鋼鐵短褲
ITEM_20150428_004892	勒肯家門的鋼鐵盔甲
ITEM_20150428_004893	鐵甲殘魔項鍊
ITEM_20150428_004894	鐵甲殘魔手鐲
ITEM_20150428_004895	花的樹枝
ITEM_20150428_004896	濃湯組合
ITEM_20150428_004897	180秒內使移動速度提升+2，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004898	酸酸甜甜的極品水果。15秒內每隔2秒HP恢復128，點擊滑鼠右鍵使用。
ITEM_20150428_004899	加工水晶碎片後獲得的水晶。保護身體不受2礦區的有毒瓦斯影響。
ITEM_20150428_004900	加工水晶碎片後獲得的水晶。15秒內每隔2秒HP恢復440，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004901	加工水晶碎片後獲得的水晶。15秒內每隔2秒SP恢復280，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004902	加工水晶碎片後獲得的水晶。180秒內使移動速度提升+2，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004903	攻擊推進器 +10
ITEM_20150428_004904	在武器上追加+10傷害，登錄於快捷欄即可使用。
ITEM_20150428_004905	攻擊推進器 +15
ITEM_20150428_004906	在武器上追加+15傷害，登錄於快捷欄即可使用。
ITEM_20150428_004907	攻擊推進器 +20
ITEM_20150428_004908	在武器上追加+20傷害，登錄於快捷欄即可使用。
ITEM_20150428_004909	濃縮HP藥水 LV1
ITEM_20150428_004910	15秒內每隔2秒HP恢復800，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004911	濃縮SP藥水 LV1
ITEM_20150428_004912	15秒內每隔2秒SP恢復640，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004913	濃縮耐力藥丸 LV1
ITEM_20150428_004914	耐力恢復50，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004915	濃縮移動速度增加藥水 LV1
ITEM_20150428_004916	180秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004917	濃縮HP藥水 LV2
ITEM_20150428_004918	15秒內每隔2秒HP恢復880，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004919	濃縮HP藥水 LV3
ITEM_20150428_004920	15秒內每隔2秒HP恢復960，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004921	濃縮HP藥水 LV4
ITEM_20150428_004922	15秒內每隔2秒HP恢復1040，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004923	濃縮HP藥水 LV5
ITEM_20150428_004924	15秒內每隔2秒HP恢復1120，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004925	濃縮HP藥水 LV6
ITEM_20150428_004926	15秒內每隔2秒HP恢復1200，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004927	濃縮HP藥水 LV7
ITEM_20150428_004928	15秒內每隔2秒HP恢復1280，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004929	濃縮HP藥水 LV8
ITEM_20150428_004930	15秒內每隔2秒HP恢復1360，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004931	濃縮HP藥水 LV9
ITEM_20150428_004932	15秒內每隔2秒HP恢復1440，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004933	濃縮HP藥水 LV10
ITEM_20150428_004934	15秒內每隔2秒HP恢復1520，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004935	濃縮HP藥水 LV11
ITEM_20150428_004936	15秒內每隔2秒HP恢復1600，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004937	濃縮HP藥水 LV12
ITEM_20150428_004938	15秒內每隔2秒HP恢復1680，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004939	濃縮HP藥水 LV13
ITEM_20150428_004940	15秒內每隔2秒HP恢復1760，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004941	濃縮HP藥水 LV14
ITEM_20150428_004942	15秒內每隔2秒HP恢復1840，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004943	濃縮HP藥水 LV15
ITEM_20150428_004944	15秒內每隔2秒HP恢復900，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150428_004945	濃縮SP藥水 LV2
ITEM_20150428_004946	15秒內每隔2秒SP恢復704，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004947	濃縮SP藥水 LV3
ITEM_20150428_004948	15秒內每隔2秒SP恢復768點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004949	濃縮SP藥水 LV4
ITEM_20150428_004950	15秒內每隔2秒SP恢復832點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004951	濃縮SP藥水 LV5
ITEM_20150428_004952	15秒內每隔2秒SP恢復896點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004953	濃縮SP藥水 LV6
ITEM_20150428_004954	15秒內每隔2秒SP恢復960點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004955	濃縮SP藥水 LV7
ITEM_20150428_004956	15秒內每隔2秒SP恢復1024點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004957	濃縮SP藥水 LV8
ITEM_20150428_004958	15秒內每隔2秒SP恢復1088點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004959	濃縮SP藥水 LV9
ITEM_20150428_004960	15秒內每隔2秒SP恢復1152點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004961	濃縮SP藥水 LV10
ITEM_20150428_004962	15秒內每隔2秒SP恢復1216點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004963	濃縮SP藥水 LV11
ITEM_20150428_004964	15秒內每隔2秒SP恢復1280點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004965	濃縮SP藥水 LV12
ITEM_20150428_004966	15秒內每隔2秒SP恢復1344點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004967	濃縮SP藥水 LV13
ITEM_20150428_004968	15秒內每隔2秒SP恢復1408點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004969	濃縮SP藥水 LV14
ITEM_20150428_004970	15秒內每隔2秒SP恢復1472點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004971	濃縮SP藥水 LV15
ITEM_20150428_004972	15秒內每隔2秒SP恢復1536點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004973	濃縮耐力藥丸 LV2
ITEM_20150428_004974	耐力恢復52，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004975	濃縮耐力藥丸 LV3
ITEM_20150428_004976	耐力恢復54，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004977	濃縮耐力藥丸 LV4
ITEM_20150428_004978	耐力恢復56，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004979	濃縮耐力藥丸 LV5
ITEM_20150428_004980	耐力恢復58，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004981	濃縮耐力藥丸 LV6
ITEM_20150428_004982	耐力恢復60，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004983	濃縮耐力藥丸 LV7
ITEM_20150428_004984	耐力恢復62，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004985	濃縮耐力藥丸 LV8
ITEM_20150428_004986	耐力恢復64，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004987	濃縮耐力藥丸 LV9
ITEM_20150428_004988	耐力恢復66，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004989	濃縮耐力藥丸 LV10
ITEM_20150428_004990	耐力恢復68，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004991	濃縮耐力藥丸 LV11
ITEM_20150428_004992	耐力恢復70，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004993	濃縮耐力藥丸 LV12
ITEM_20150428_004994	耐力恢復72，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004995	濃縮耐力藥丸 LV13
ITEM_20150428_004996	耐力恢復74，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004997	濃縮耐力藥丸 LV14
ITEM_20150428_004998	耐力恢復76，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_004999	濃縮耐力藥丸 LV15
ITEM_20150428_005000	耐力恢復78，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005001	濃縮移動速度增加藥水 LV2
ITEM_20150428_005002	185秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005003	濃縮移動速度增加藥水 LV3
ITEM_20150428_005004	190秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005005	濃縮移動速度增加藥水 LV4
ITEM_20150428_005006	195秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005007	濃縮移動速度增加藥水 LV5
ITEM_20150428_005008	200秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005009	濃縮移動速度增加藥水 LV6
ITEM_20150428_005010	205秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005011	濃縮移動速度增加藥水 LV7
ITEM_20150428_005012	210秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005013	濃縮移動速度增加藥水 LV8
ITEM_20150428_005014	215秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005015	濃縮移動速度增加藥水 LV9
ITEM_20150428_005016	220秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005017	濃縮移動速度增加藥水 LV10
ITEM_20150428_005018	225秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005019	濃縮移動速度增加藥水 LV11
ITEM_20150428_005020	230秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005021	濃縮移動速度增加藥水 LV12
ITEM_20150428_005022	235秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005023	濃縮移動速度增加藥水 LV13
ITEM_20150428_005024	240秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005025	濃縮移動速度增加藥水 LV14
ITEM_20150428_005026	245秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005027	濃縮移動速度增加藥水 LV15
ITEM_20150428_005028	250秒內使移動速度提升+4，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150428_005029	神燈魔神卡片
ITEM_20150428_005030	蒙雷幾那卡片
ITEM_20150428_005031	神殿射手卡片
ITEM_20150428_005032	潘圖魔法師法杖裝飾
ITEM_20150428_005033	如果忘記了設置的闊劍地雷的方向，闊劍地雷會朝向著你。
ITEM_20150428_005034	線
ITEM_20150428_005035	非常細，如果不仔細看會找不到。
ITEM_20150428_005036	次元的碎片
ITEM_20150428_005037	時空間扭曲的時候
ITEM_20150428_005038	橡木
ITEM_20150428_005039	住過安德伊村莊的居民的撕破的日誌頁，閱讀一下內容吧！
ITEM_20150428_005040	探險過勒肯家門宅邸的不知名冒險家的日誌。可以閱讀。
ITEM_20150428_005041	從名叫貝伊其歐的人哪裡來的回信。可以閱讀。
ITEM_20150428_005042	勒肯家的某人所訂購的道具的明細的一部份。可以閱讀。
ITEM_20150428_005043	在水路橋地區發現的被弄髒的日誌，沒有看見日誌的主人。可以閱讀。
ITEM_20150428_005044	非常久遠老舊，好像只要隨便碰一下就會馬上碎掉。可以閱讀。
ITEM_20150428_005045	某個朝聖者很久以前留下的紙條。可以閱讀。
ITEM_20150428_005046	好像是被推測為朝聖者的某人最後拼死留下的樣子。可以閱讀。
ITEM_20150428_005047	朝聖者的撕破的日誌本的一部份。可以閱讀。
ITEM_20150428_005048	寫得很潦草的朝聖者的記錄。可以閱讀。
ITEM_20150428_005049	垂死的朝聖者留下的遺書。可以閱讀。
ITEM_20150428_005050	朝聖者所留下的燒焦的日誌。可以閱讀。
ITEM_20150428_005051	不小心遺失的日誌本。可以閱讀。
ITEM_20150428_005052	某人因為憤怒潦草寫下的日誌。仔細看可以閱讀。
ITEM_20150428_005053	在人類無法進入的地方有人類的日誌。可以閱讀內容。
ITEM_20150428_005054	按照瓦卡麗涅的命令製作的命令書，閱讀看看。
ITEM_20150428_005055	好像是很久以前就一直貼著的命令書。可以閱讀。
ITEM_20150428_005056	札卡里耶爾大王時代所記錄的文件。可以閱讀。
ITEM_20150428_005057	看起來像是超過數百年的警告文。可以閱讀。
ITEM_20150428_005058	揉成一團扔掉的紙條，勉強還可以閱讀。
ITEM_20150428_005059	潘圖魔法師隨身攜帶的儀式用麻蠅
ITEM_20150428_005060	綠頭鴨的脂肪
ITEM_20150428_005061	為了讓綠頭鴨的脂肪好燃燒，好好保管了一陣子，用這個去喚醒豬籠草吧！
ITEM_20150428_005062	在水晶礦山發現的第一個啟示，可以閱讀。
ITEM_20150428_005063	朋德爾的靈魂
ITEM_20150428_005064	在泰內聖堂發現的第二個啟示，可以閱讀。
ITEM_20150428_005065	凱波的肉塊
ITEM_20150428_005066	很容易從凱波身上取得的肉塊，可是如果是人絕對無法吃下肚。
ITEM_20150428_005067	在荊棘林發現的第三個啟示，可以閱讀。
ITEM_20150428_005068	在王陵發現的第四個啟示，可以閱讀。
ITEM_20150428_005069	在大教堂發現的第六個啟示，可以閱讀。
ITEM_20150428_005070	傳聞說在王陵建築者禮拜堂可以聽見王者之聲。
ITEM_20150428_005071	葛拉奇烏斯給的試驗用靈魂的試劑。
ITEM_20150428_005072	試驗用試劑
ITEM_20150428_005073	據說對怪物噴撒，可以區分出利用憤怒的詛咒殺死朝聖者的怪物。
ITEM_20150428_005074	在大教堂發現的第五個啟示，可以閱讀。
ITEM_20150511_005075	妖術師套裝
ITEM_20150511_005076	喇嘛套裝
ITEM_20150511_005077	共鳴用水晶
ITEM_20150511_005078	布貝掉落的神秘水晶，聽說在2礦區2層和某種裝置可以引起共鳴。
ITEM_20150511_005079	完成的巴奇斯研究資料。裡面有和王陵相關的內容，閱讀看看。
ITEM_20150511_005080	烈焰魔法師隱藏的古老卷軸。可以閱讀。
ITEM_20150511_005081	布拉克的報告書，記載著附近地區的偵察內容，可以閱讀。
ITEM_20150511_005082	約克的報告書，記載著最近數量變多的怪物的動向，將報告交給副官波爾達，可以閱讀。
ITEM_20150511_005083	巴奇斯花了畢生的時間記錄的日誌，覺得非常的珍貴。可以閱讀。
ITEM_20150511_005084	詳細記載著未來作戰相關地圖。可以閱讀。
ITEM_20150511_005085	破旗森林偵察報告書，字跡潦草到令人吃驚，可以閱讀，但是…
ITEM_20150511_005086	整理研究王陵記錄的卷宗。可以閱讀。
ITEM_20150511_005087	尤那斯奉獻一生研究的記錄物。可以閱讀。
ITEM_20150511_005088	聯合調查團員史考特送來的可疑的動向報告書，可以閱讀。
ITEM_20150511_005089	因為沾到血，所以內容看不太清楚，好像只能看到部份內容。
ITEM_20150511_005090	授予平安完成訓練的士兵的結業證，可以驕傲閱讀的證書。
ITEM_20150511_005091	使用於各種皮制品的皮革，雖然是活生生的，但是可以馬上使用是優點。
ITEM_20150511_005092	新王陵研究員遺失的研究資料，上頭留有腳印，不知道被誰踩過。勉強還可以閱讀。
ITEM_20150511_005093	寫著消除尖刺藤蔓方法的紙條，閱讀並熟悉吧！
ITEM_20150511_005094	船要停泊在港口時所需要的許可書。可以閱讀。
ITEM_20150511_005095	跑腿者的紙條，不能讀的說…要讀嗎？
ITEM_20150511_005096	第一個利迪亞夏班的碑石拓本。閱讀一下吧！
ITEM_20150511_005097	第二個利迪亞夏班的碑石拓本。閱讀一下吧！
ITEM_20150511_005098	第三個利迪亞夏班的碑石拓本。閱讀一下吧！
ITEM_20150511_005099	第四個利迪亞夏班的碑石拓本。閱讀一下吧！
ITEM_20150511_005100	第五個利迪亞夏班的碑石拓本。閱讀一下吧！
ITEM_20150511_005101	記載著可以變身成魔族的方法的非常老舊的文件。閱讀一下吧！
ITEM_20150511_005102	借農具時，為了以防萬一，豪拉奇烏斯的寫的信件，可以閱讀。
ITEM_20150511_005103	在迪基內岔路被發現的巴奇斯的研究資料2篇，可以閱讀。
ITEM_20150511_005104	在蛇之頸絕壁被發現的巴奇斯的研究資料3篇，可以閱讀。
ITEM_20150511_005105	在阿帕堤懸崖被發現的巴奇斯的研究資料4篇，可以閱讀。
ITEM_20150511_005106	巴奇斯的研究資料(5)
ITEM_20150511_005107	巴奇斯的研究資料4篇，可以閱讀。
ITEM_20150511_005108	祭司約瑟那的研究報告書，記載著詛咒的發現，可以閱讀。
ITEM_20150511_005109	祭司露亞那的研究報告書，記載著詛咒的解除，可以閱讀。
ITEM_20150511_005110	祭司普羅基特的研究報告書，記載著詛咒的擴散和影響，可以閱讀。
ITEM_20150511_005111	祭司約瑟那在整理好詛咒相關內容之後，讓人無法看而封印的研究報告書，一不小心就消失不見了。
ITEM_20150714_005112	劍刃的長度變長，彌補了短劍本身的缺點。
ITEM_20150714_005113	老將十字弓
ITEM_20150714_005114	斯萊奇鐵錘
ITEM_20150714_005115	約魯基斯佩迪米安棒槌
ITEM_20150714_005116	手套[皮革]
ITEM_20150714_005117	鞋子[皮革]
ITEM_20150714_005118	下衣[皮革]
ITEM_20150714_005119	手套[板金]
ITEM_20150714_005120	鞋子[板金]
ITEM_20150714_005121	下衣[板金]
ITEM_20150714_005122	手套[布]
ITEM_20150714_005123	鞋子[布]
ITEM_20150714_005124	下衣[布]
ITEM_20150714_005125	路克索那手套
ITEM_20150714_005126	路克索那靴子
ITEM_20150714_005127	路克索那短褲
ITEM_20150714_005128	路克索那布甲
ITEM_20150714_005129	路克索那皮革手套
ITEM_20150714_005130	路克索那皮革靴子
ITEM_20150714_005131	路克索那皮革短褲
ITEM_20150714_005132	路克索那皮革盔甲
ITEM_20150714_005133	路克索那鋼鐵護手套
ITEM_20150714_005134	路克索那鋼鐵靴子
ITEM_20150714_005135	路克索那鋼鐵短褲
ITEM_20150714_005136	路克索那鋼鐵盔甲
ITEM_20150714_005137	GM靴子
ITEM_20150714_005138	雖然很熟悉寒氣，但是考慮遇到極寒的狀況製作了此服裝，現在此服裝反映大師的性格，忠於其實用性的目的。
ITEM_20150714_005139	附魔師套裝
ITEM_20150714_005140	鎬頭組合
ITEM_20150714_005141	卡片組合
ITEM_20150714_005142	卡利斯臂環
ITEM_20150714_005143	15秒內每隔2秒HP恢復384，點擊滑鼠右鍵使用，冷卻時間30秒。
ITEM_20150714_005144	15秒內每隔2秒HP恢復640，點擊滑鼠右鍵使用，冷卻時間45秒。
ITEM_20150714_005145	15秒內每隔2秒HP恢復1280，點擊滑鼠右鍵使用，冷卻時間60秒。
ITEM_20150714_005146	具有軟嫩果肉的水果，外皮上有短短的毛。
ITEM_20150714_005147	雖然散發出難聞的問題，但卻擁有天國味道的水果。
ITEM_20150714_005148	HP恢復+80~100，很容易可以取得的肉，生吃也可以，點擊滑鼠右鍵使用。
ITEM_20150714_005149	經驗值提升+166，職業經驗值提升+127。可以一定機率獲得經驗值追加，點擊滑鼠右鍵使用。
ITEM_20150714_005150	經驗值提升+895，職業經驗值提升+689。可以一定機率獲得經驗值追加，點擊滑鼠右鍵使用。
ITEM_20150714_005151	經驗值提升+2375，職業經驗值提升+1828。可以一定機率獲得經驗值追加，點擊滑鼠右鍵使用。
ITEM_20150714_005152	經驗值提升+3155，職業經驗值提升+2429。可以一定機率獲得經驗值追加，點擊滑鼠右鍵使用。
ITEM_20150714_005153	經驗值提升+7620，職業經驗值提升+5867。可以一定機率獲得經驗值追加，點擊滑鼠右鍵使用。
